,R239,R238,R236,R241,R241A,R240,R236B,R236A,R242,R243,R235,R245,R244,R246,R247,R234,R249A,R249,R248,R250,R251,R233,R254,R253,R252,R255,R256,R257,R226,R228,R230,R258,R259,R260,R261,R262,R265,R263,R264,R220,R222,R202,R204,R201,R203,R205
R239,0,1,3,1,2,2,4,4,2,3,5,3,4,4,5,7,5,5,6,6,7,9,7,8,9,9,10,11,11,12,13,12,13,15,17,17,15,17,17,12,13,14,14,16,16,16
R238,1,0,2,2,1,2,2,3,4,4,4,5,5,6,7,5,7,7,8,8,10,6,9,10,11,11,12,13,13,14,15,14,15,17,19,19,13,19,19,12,13,14,14,16,16,16
R236,3,2,0,3,2,3,1,1,3,3,2,5,4,6,5,3,7,7,5,8,5,4,9,10,11,11,12,13,11,12,13,14,15,16,16,16,10,12,12,8,9,10,9,12,12,11
R241,1,2,3,0,1,1,3,3,1,2,2,2,3,3,4,5,4,4,5,5,7,7,6,7,8,6,7,8,10,11,12,9,10,12,14,14,14,16,11,11,12,13,13,15,15,15
R241A,2,1,2,1,0,1,2,2,3,3,3,4,4,5,6,5,6,7,7,7,9,7,8,9,10,9,10,11,12,13,14,12,13,15,17,14,11,13,13,11,12,13,13,15,15,15
R240,2,2,3,1,1,0,2,2,2,2,2,3,3,5,5,5,6,6,6,7,8,5,9,10,11,7,8,9,13,14,15,11,12,14,16,15,12,14,14,10,11,12,12,14,14,14
R236B,4,2,1,3,2,2,0,1,4,2,2,4,3,5,4,3,6,6,4,7,6,4,8,9,10,8,9,10,11,12,13,12,13,14,16,16,13,15,15,8,9,10,9,12,12,11
R236A,4,3,1,3,2,2,1,0,2,2,1,4,3,5,3,2,6,5,3,6,4,3,9,10,11,9,10,11,11,12,13,12,13,15,17,13,12,14,14,7,8,9,8,11,11,10
R242,2,4,3,1,3,2,4,2,0,1,3,1,2,2,3,5,3,3,4,4,5,6,5,6,7,5,6,7,9,10,11,8,9,11,13,9,8,10,10,10,11,12,12,14,14,14
R243,3,4,3,2,3,2,2,2,1,0,2,1,1,3,3,3,4,4,4,5,6,4,7,8,9,6,7,8,11,12,13,8,9,11,13,12,11,13,13,10,11,12,12,14,14,14
R235,5,4,2,2,3,2,2,1,3,2,0,3,2,3,2,1,4,3,3,5,3,2,6,7,8,7,8,9,10,11,12,10,11,13,15,15,10,12,12,6,7,8,7,10,10,9
R245,3,5,5,2,4,3,4,4,1,1,3,0,1,1,2,3,2,2,3,3,4,5,4,5,6,4,5,6,8,9,10,7,8,9,11,10,7,9,9,9,10,11,11,13,13,13
R244,4,5,4,3,4,3,3,3,2,1,2,1,0,2,2,2,3,3,3,4,5,4,5,6,7,6,7,8,9,10,11,9,10,11,13,12,10,12,12,9,10,11,11,13,13,13
R246,4,6,6,3,5,5,5,5,2,3,3,1,2,0,1,3,1,1,1,2,3,4,3,4,5,3,4,5,7,8,9,8,9,9,11,9,7,9,9,8,9,10,10,12,12,12
R247,5,7,5,4,6,5,4,3,3,3,2,2,2,1,0,2,2,1,1,2,3,3,3,4,5,5,6,7,7,8,9,7,8,9,11,10,7,9,9,8,9,10,10,12,12,12
R234,7,5,3,5,5,5,3,2,5,3,1,3,2,3,2,0,4,3,2,2,3,1,3,4,5,4,5,6,7,8,9,8,9,10,11,10,6,8,7,5,6,7,6,9,9,8
R249A,5,7,7,4,6,6,6,6,3,4,4,2,3,1,2,4,0,1,2,1,2,3,2,3,4,3,4,5,6,7,8,6,7,9,11,6,10,12,6,7,8,9,9,11,11,11
R249,5,7,7,4,7,6,6,5,3,4,3,2,3,1,1,3,1,0,1,1,2,2,2,3,4,3,4,5,6,7,7,6,7,6,8,8,5,7,6,7,8,9,9,11,11,11
R248,6,8,5,5,7,6,4,3,4,4,3,3,3,1,1,2,2,1,0,2,2,2,3,4,5,4,5,6,6,7,8,8,7,8,10,10,7,9,8,7,8,9,9,11,11,11
R250,6,8,8,5,7,7,7,6,4,5,5,3,4,2,2,2,1,1,2,0,1,2,1,2,3,2,3,4,4,5,6,6,7,7,8,7,4,6,5,6,7,8,8,10,10,10
R251,7,10,5,7,9,8,6,4,5,6,3,4,5,3,3,3,2,2,2,1,0,2,2,3,3,3,6,7,6,5,5,5,5,7,7,8,5,7,6,6,7,8,8,10,10,10
R233,9,6,4,7,7,5,4,3,6,4,2,5,4,4,3,1,3,2,2,2,2,0,4,4,4,5,7,7,6,5,5,7,7,8,8,8,6,8,7,4,5,6,5,8,8,7
R254,7,9,9,6,8,9,8,9,5,7,6,4,5,3,3,3,2,2,3,1,2,4,0,1,2,2,2,3,4,5,6,4,5,6,8,4,8,10,6,5,6,7,7,8,8,8
R253,8,10,10,7,9,10,9,10,6,8,7,5,6,4,4,4,3,3,4,2,3,4,1,0,1,2,2,2,3,4,5,4,3,5,7,3,7,9,6,5,6,7,7,8,8,8
R252,9,11,11,8,10,11,10,11,7,9,8,6,7,5,5,5,4,4,5,3,3,4,2,1,0,3,2,2,2,3,4,2,2,4,6,4,6,8,5,5,6,7,7,8,8,8
R255,9,11,11,6,9,7,8,9,5,6,7,4,6,3,5,4,3,3,4,2,3,5,2,2,3,0,1,2,4,5,6,3,4,6,8,8,6,8,8,7,8,9,9,10,10,10
R256,10,12,12,7,10,8,9,10,6,7,8,5,7,4,6,5,4,4,5,3,6,7,2,2,2,1,0,1,3,4,5,2,3,5,7,7,5,7,7,7,8,9,9,10,10,10
R257,11,13,13,8,11,9,10,11,7,8,9,6,8,5,7,6,5,5,6,4,7,7,3,2,2,2,1,0,2,3,4,1,2,4,6,6,4,6,6,7,8,9,9,10,10,10
R226,11,13,11,10,12,13,11,11,9,11,10,8,9,7,7,7,6,6,6,4,6,6,4,3,2,4,3,2,0,1,2,2,2,4,5,3,4,6,6,0,0,0,0,0,0,0
R228,12,14,12,11,13,14,12,12,10,12,11,9,10,8,8,8,7,7,7,5,5,5,5,4,3,5,4,3,1,0,1,2,2,2,3,3,3,5,5,0,0,0,0,0,0,0
R230,13,15,13,12,14,15,13,13,11,13,12,10,11,9,9,9,8,7,8,6,5,5,6,5,4,6,5,4,2,1,0,3,2,2,2,2,2,4,4,0,0,0,0,0,0,0
R258,12,14,14,9,12,11,12,12,8,8,10,7,9,8,7,8,6,6,8,6,5,7,4,4,2,3,2,1,2,2,3,0,1,3,5,5,3,5,5,5,6,7,8,7,8,9
R259,13,15,15,10,13,12,13,13,9,9,11,8,10,9,8,9,7,7,7,7,5,7,5,3,2,4,3,2,2,2,2,1,0,2,4,4,2,4,4,5,6,7,8,7,8,9
R260,15,17,16,12,15,14,14,15,11,11,13,9,11,9,9,10,9,6,8,7,7,8,6,5,4,6,5,4,4,2,2,3,2,0,2,2,2,2,4,5,4,5,6,5,6,7
R261,17,19,16,14,17,16,16,17,13,13,15,11,13,11,11,11,11,8,10,8,7,8,8,7,6,8,7,6,5,3,2,5,4,2,0,1,2,2,3,5,5,5,6,5,6,7
R262,17,19,16,14,14,15,16,13,9,12,15,10,12,9,10,10,6,8,10,7,8,8,4,3,4,8,7,6,3,3,2,5,4,2,1,0,2,1,2,4,4,4,5,4,5,6
R265,15,13,10,14,11,12,13,12,8,11,10,7,10,7,7,6,10,5,7,4,5,6,8,7,6,5,5,4,4,3,2,3,2,2,2,2,0,2,2,3,3,3,4,3,4,5
R263,17,19,12,16,13,14,15,14,10,13,12,9,12,9,9,8,12,7,9,6,7,8,10,9,8,7,7,6,6,5,4,5,4,2,2,1,2,0,1,3,3,3,4,3,4,5
R264,17,19,12,11,13,14,15,14,10,13,12,9,12,9,9,7,6,6,8,5,6,7,6,6,5,7,7,6,6,5,4,5,4,4,3,2,2,1,0,2,2,2,3,2,3,4
R220,12,12,8,11,11,10,8,7,10,10,6,9,9,8,8,5,7,7,7,6,6,4,5,5,5,7,7,7,0,0,0,5,5,5,5,4,3,3,2,0,1,2,2,4,4,4
R222,13,13,9,12,12,11,9,8,11,11,7,10,10,9,9,6,8,8,8,7,7,5,6,6,6,8,8,8,0,0,0,6,6,4,5,4,3,3,2,1,0,1,2,3,3,3
R202,14,14,10,13,13,12,10,9,12,12,8,11,11,10,10,7,9,9,9,8,8,6,7,7,7,9,9,9,0,0,0,7,7,5,5,4,3,3,2,2,1,0,1,2,2,2
R204,14,14,9,13,13,12,9,8,12,12,7,11,11,10,10,6,9,9,9,8,8,5,7,7,7,9,9,9,0,0,0,8,8,6,6,5,4,4,3,2,2,1,0,2,2,2
R201,16,16,12,15,15,14,12,11,14,14,10,13,13,12,12,9,11,11,11,10,10,8,8,8,8,10,10,10,0,0,0,7,7,5,5,4,3,3,2,4,3,2,2,0,1,2
R203,16,16,12,15,15,14,12,11,14,14,10,13,13,12,12,9,11,11,11,10,10,8,8,8,8,10,10,10,0,0,0,8,8,6,6,5,4,4,3,4,3,2,2,1,0,1
R205,16,16,11,15,15,14,11,10,14,14,9,13,13,12,12,8,11,11,11,10,10,7,8,8,8,10,10,10,0,0,0,9,9,7,7,6,5,5,4,4,3,2,2,2,1,0
